,Year,Player,Pos,Age,G,GS,MP,PTS,PER,TS,FTr,FG,FGA,AST,PF,height,weight,Players ok
890,1957,Bob Cousy,PG,28.0,64,,2364.0,1319,21,0.452,0.35,478.0,1264.0,478.0,134.0,185.0,79.0,1
1340,1956,Bob Pettit,C,23.0,72,,2794.0,1849,27,0.502,0.502,646.0,1507.0,189.0,202.0,206.0,92.0,1
1343,1959,Bob Pettit,PF,26.0,72,,2873.0,2105,28,0.519,0.536,719.0,1640.0,221.0,200.0,206.0,92.0,1
1667,1958,Bill Russell,C,23.0,69,,2640.0,1142,22,0.465,0.429,456.0,1032.0,202.0,181.0,208.0,97.0,1
1670,1961,Bill Russell,C,26.0,78,,3458.0,1322,18,0.45399999999999996,0.375,532.0,1250.0,268.0,155.0,208.0,97.0,1
1671,1962,Bill Russell,C,27.0,76,,3433.0,1436,19,0.489,0.382,575.0,1258.0,341.0,207.0,208.0,97.0,1
1672,1963,Bill Russell,C,28.0,78,,3500.0,1309,18,0.46399999999999997,0.43700000000000006,511.0,1182.0,348.0,189.0,208.0,97.0,1
1674,1965,Bill Russell,C,30.0,78,,3466.0,1102,19,0.47200000000000003,0.435,429.0,980.0,410.0,204.0,208.0,97.0,1
1968,1960,Wilt Chamberlain,C,23.0,72,,3338.0,2707,28,0.493,0.429,1065.0,2311.0,168.0,150.0,216.0,124.0,1
1976,1966,Wilt Chamberlain,C,29.0,79,,3737.0,2649,28,0.547,0.49,1074.0,1990.0,414.0,171.0,216.0,124.0,1
1977,1967,Wilt Chamberlain,C,30.0,81,,3682.0,1956,26,0.637,0.7609999999999999,785.0,1150.0,630.0,143.0,216.0,124.0,1
1978,1968,Wilt Chamberlain,C,31.0,82,,3836.0,1992,24,0.557,0.677,819.0,1377.0,702.0,160.0,216.0,124.0,1
2162,1964,Oscar Robertson,PG,25.0,79,,3559.0,2480,27,0.5760000000000001,0.539,840.0,1740.0,868.0,280.0,196.0,92.0,1
2879,1970,Willis Reed,C,27.0,81,,3089.0,1755,20,0.552,0.335,702.0,1385.0,161.0,287.0,206.0,106.0,1
3818,1969,Wes Unseld,C,22.0,82,,2970.0,1131,18,0.515,0.511,427.0,897.0,213.0,276.0,201.0,111.0,1
4133,1973,Dave Cowens,C,24.0,82,,3425.0,1684,18,0.48100000000000004,0.16,740.0,1637.0,333.0,311.0,206.0,104.0,1
4813,1975,Bob McAdoo,C,23.0,82,,3539.0,2831,25,0.569,0.37200000000000005,1095.0,2138.0,179.0,278.0,206.0,95.0,1
5366,1978,Bill Walton,C,25.0,58,,1929.0,1097,24,0.5539999999999999,0.27899999999999997,460.0,882.0,291.0,145.0,211.0,95.0,1
5936,1981,Julius Erving,SF,30.0,82,,2874.0,2014,25,0.5720000000000001,0.35200000000000004,794.0,1524.0,364.0,233.0,201.0,95.0,1
6205,1979,Moses Malone,C,23.0,82,,3390.0,2031,23,0.604,0.612,716.0,1325.0,147.0,223.0,208.0,97.0,1
6208,1982,Moses Malone,C,26.0,81,81.0,3398.0,2520,26,0.5760000000000001,0.45399999999999996,945.0,1822.0,142.0,208.0,208.0,97.0,1
6209,1983,Moses Malone,C,27.0,78,78.0,2922.0,1908,25,0.578,0.604,654.0,1305.0,101.0,206.0,208.0,97.0,1
7306,1984,Larry Bird,PF,27.0,79,77.0,3028.0,1908,24,0.552,0.273,758.0,1542.0,520.0,197.0,206.0,99.0,1
7307,1985,Larry Bird,SF,28.0,80,77.0,3161.0,2295,26,0.585,0.26,918.0,1760.0,531.0,208.0,206.0,99.0,1
7308,1986,Larry Bird,SF,29.0,82,81.0,3113.0,2115,25,0.58,0.306,796.0,1606.0,557.0,182.0,206.0,99.0,1
7482,1987,Magic Johnson,PG,27.0,80,80.0,2904.0,1909,27,0.602,0.48200000000000004,683.0,1308.0,977.0,168.0,201.0,98.0,1
7484,1989,Magic Johnson,PG,29.0,77,77.0,2886.0,1730,26,0.625,0.495,579.0,1137.0,988.0,172.0,201.0,98.0,1
7485,1990,Magic Johnson,PG,30.0,79,79.0,2937.0,1765,26,0.622,0.56,546.0,1138.0,907.0,167.0,201.0,98.0,1
9490,1993,Charles Barkley,PF,29.0,76,76.0,2859.0,1944,25,0.596,0.423,716.0,1376.0,385.0,196.0,198.0,114.0,1
9673,1988,Michael Jordan,SG,24.0,82,82.0,3311.0,2868,31,0.603,0.43,1069.0,1998.0,485.0,270.0,198.0,88.0,1
9676,1991,Michael Jordan,SG,27.0,82,82.0,3034.0,2580,31,0.605,0.365,990.0,1837.0,453.0,229.0,198.0,88.0,1
9677,1992,Michael Jordan,SG,28.0,80,80.0,3102.0,2404,27,0.579,0.325,943.0,1818.0,489.0,201.0,198.0,88.0,1
9680,1996,Michael Jordan,SG,32.0,82,82.0,3090.0,2491,29,0.5820000000000001,0.355,916.0,1850.0,352.0,195.0,198.0,88.0,1
9682,1998,Michael Jordan,SG,34.0,82,82.0,3181.0,2357,25,0.5329999999999999,0.381,881.0,1893.0,283.0,151.0,198.0,88.0,1
9725,1994,Hakeem Olajuwon,C,31.0,80,80.0,3277.0,2184,25,0.565,0.32,894.0,1694.0,287.0,289.0,213.0,115.0,1
10137,1997,Karl Malone,PF,33.0,82,82.0,2998.0,2249,28,0.6,0.439,864.0,1571.0,368.0,217.0,206.0,113.0,1
10139,1999,Karl Malone,PF,35.0,49,49.0,1832.0,1164,25,0.5770000000000001,0.602,393.0,797.0,201.0,134.0,206.0,113.0,1
12350,1995,David Robinson,C,29.0,81,81.0,3074.0,2238,29,0.602,0.57,788.0,1487.0,236.0,230.0,216.0,106.0,1
15191,2004,Kevin Garnett,PF,27.0,82,82.0,3231.0,1987,29,0.547,0.289,804.0,1611.0,409.0,202.0,211.0,108.0,1
15664,2008,Kobe Bryant,SG,29.0,82,82.0,3192.0,2323,24,0.5760000000000001,0.439,775.0,1690.0,441.0,227.0,198.0,96.0,1
15838,2001,Allen Iverson,SG,25.0,71,71.0,2979.0,2207,24,0.518,0.397,762.0,1813.0,325.0,147.0,183.0,74.0,1
15948,2005,Steve Nash,PG,30.0,75,75.0,2573.0,1165,22,0.606,0.278,430.0,857.0,861.0,136.0,190.0,88.0,1
15949,2006,Steve Nash,PG,31.0,79,79.0,2796.0,1489,23,0.632,0.264,541.0,1056.0,826.0,120.0,190.0,88.0,1
16306,2002,Tim Duncan,PF,25.0,82,82.0,3329.0,2089,27,0.5760000000000001,0.466,764.0,1504.0,307.0,217.0,211.0,113.0,1
16307,2003,Tim Duncan,PF,26.0,81,81.0,3181.0,1884,26,0.564,0.455,714.0,1392.0,316.0,231.0,211.0,113.0,1
17075,2007,Dirk Nowitzki,PF,28.0,78,78.0,2820.0,1916,27,0.605,0.41100000000000003,673.0,1341.0,263.0,171.0,213.0,111.0,1
19676,2009,LeBron James,SF,24.0,81,81.0,3054.0,2304,31,0.591,0.47200000000000003,789.0,1613.0,587.0,139.0,203.0,113.0,1
19677,2010,LeBron James,SF,25.0,76,76.0,2966.0,2258,31,0.604,0.506,768.0,1528.0,651.0,119.0,203.0,113.0,1
19679,2012,LeBron James,SF,27.0,62,62.0,2326.0,1683,30,0.605,0.429,621.0,1169.0,387.0,96.0,203.0,113.0,1
19680,2013,LeBron James,PF,28.0,76,76.0,2877.0,2036,31,0.64,0.395,765.0,1354.0,551.0,110.0,203.0,113.0,1
21671,2014,Kevin Durant,SF,25.0,81,81.0,3122.0,2593,29,0.635,0.47700000000000004,849.0,1688.0,445.0,174.0,206.0,108.0,1
22336,2011,Derrick Rose,PG,22.0,81,81.0,3026.0,2026,23,0.55,0.348,711.0,1597.0,623.0,136.0,190.0,86.0,1
22416,2017,Russell Westbrook,PG,28.0,81,81.0,2802.0,2558,30,0.5539999999999999,0.433,824.0,1941.0,840.0,190.0,190.0,90.0,1
22525,2015,Stephen Curry,PG,26.0,80,80.0,2613.0,1900,28,0.638,0.251,653.0,1341.0,619.0,158.0,190.0,86.0,1
22526,2016,Stephen Curry,PG,27.0,79,79.0,2700.0,2375,31,0.669,0.25,805.0,1598.0,527.0,161.0,190.0,86.0,1
